datetimeEpoch,solarradiation,cloudcover,windspeed,winddir,precip,temp,date
1659441600,23.0,0.0,8.7,31.0,0.0,24.2,2022-08-02 07:00:00
1659445200,47.0,0.0,11.6,175.0,0.0,25.9,2022-08-02 08:00:00
1659448800,322.0,0.0,16.9,186.0,0.0,28.6,2022-08-02 09:00:00
1659452400,77.0,0.0,20.9,213.0,0.0,31.7,2022-08-02 10:00:00
1659456000,79.0,0.0,23.2,214.0,0.0,34.1,2022-08-02 11:00:00
1659459600,76.0,0.0,21.1,217.0,0.0,35.4,2022-08-02 12:00:00
1659463200,83.0,17.9,18.3,217.0,0.0,36.4,2022-08-02 13:00:00
1659466800,912.0,55.3,21.7,197.0,0.0,37.2,2022-08-02 14:00:00
1659470400,821.0,50.0,17.8,191.0,0.0,37.8,2022-08-02 15:00:00
1659474000,747.0,41.6,16.9,187.0,0.0,38.4,2022-08-02 16:00:00
1659477600,561.0,31.8,20.0,195.0,0.0,37.8,2022-08-02 17:00:00
1659481200,88.0,41.6,18.7,185.0,0.0,37.6,2022-08-02 18:00:00
1659484800,47.0,15.1,18.8,187.0,0.0,36.5,2022-08-02 19:00:00
1659488400,21.0,0.0,15.0,170.0,0.0,34.9,2022-08-02 20:00:00
